Identifiant;EXPO;ft_23_categ;ft_4_categ;ft_5_categ;ft_6_categ;ft_19_categ;ft_21_categ;ft_24_categ;age_batiment;superficief_petit;superficief_moyen;superficief_trés-grand;superficief_Géant;ft_18_categ_V;ft_18_categ_base;ft_18_categ_eff;ft_18_categ_effpi;ft_18_categ_pi
12617;1.0;0.0;1;1;0;1;2;3;77.0;1;0;0;0;0;1;0;0;0
5588;1.0;0.0;0;1;0;1;1;3;113.0;1;0;0;0;0;1;0;0;0
16835;1.0;0.0;0;1;0;2;3;3;14.0;0;1;0;0;0;1;0;0;0
8518;1.0;0.0;0;1;1;2;4;0;54.0;0;0;1;0;0;1;0;0;0
9020;0.493150685;0.0;0;1;1;2;4;0;48.87981527371062;0;0;1;0;0;1;0;0;0
16408;1.0;0.0;0;1;0;2;1;2;5.0;0;0;0;1;0;0;0;1;0
18355;0.75136612;0.0;1;1;0;2;3;7;117.0;0;0;0;1;0;1;0;0;0
7553;1.0;0.0;0;0;1;2;2;0;56.0;1;0;0;0;0;1;0;0;0
13800;1.0;0.0;1;1;0;2;1;6;6.0;0;0;1;0;0;0;0;1;0
18518;1.0;0.3;0;1;0;2;1;3;2.0;0;0;1;0;0;1;0;0;0
6878;1.0;0.0;0;0;1;2;2;0;33.0;0;1;0;0;0;1;0;0;0
13907;1.0;0.0;1;0;1;2;3;0;56.0;0;0;1;0;0;1;0;0;0
2371;0.5808219179999999;0.0;0;1;1;2;1;0;53.0;1;0;0;0;0;1;0;0;0
16411;1.0;0.0;0;1;0;1;2;3;12.0;0;0;1;0;0;1;0;0;0
18264;0.8032786890000001;0.0;0;1;0;1;1;4;72.0;1;0;0;0;0;1;0;0;0
15989;1.0;0.0;1;1;0;2;3;2;112.0;0;0;1;0;0;1;0;0;0
10833;0.9125683059999999;0.6;0;1;0;1;2;4;51.0;0;1;0;0;0;0;0;1;0
15602;0.747945205;0.3;1;1;0;2;2;3;49.0;1;0;0;0;0;1;0;0;0
19257;1.0;0.0;0;1;0;2;2;4;115.0;0;1;0;0;0;0;0;1;0
1290;1.0;0.0;0;1;1;2;1;0;26.0;0;0;0;1;0;1;0;0;0
15731;1.0;0.3;0;1;0;2;3;6;42.0;0;0;0;1;0;1;0;0;0
3297;1.0;0.3;0;1;0;2;2;5;24.0;0;1;0;0;0;1;0;0;0
16958;0.16438356199999998;0.0;0;1;0;2;1;3;113.0;1;0;0;0;0;1;0;0;0
1533;1.0;0.3;1;1;0;2;1;4;22.0;0;0;1;0;0;0;0;0;1
8391;1.0;0.0;0;1;1;2;1;0;54.0;0;1;0;0;0;1;0;0;0
14258;1.0;0.0;1;0;1;2;2;0;24.0;0;0;1;0;0;1;0;0;0
16342;1.0;0.0;0;1;0;2;2;2;22.0;0;0;0;1;0;0;0;0;1
4842;1.0;0.0;0;1;0;2;2;6;45.0;0;0;0;1;0;1;0;0;0
4446;0.950684932;0.0;1;1;1;2;2;0;55.0;0;0;1;0;0;1;0;0;0
6887;1.0;0.0;1;1;1;2;3;0;55.0;0;0;1;0;0;1;0;0;0
6525;1.0;0.0;0;0;1;2;2;0;24.0;1;0;0;0;0;1;0;0;0
455;1.0;0.0;0;1;1;2;2;0;33.0;0;0;0;1;0;1;0;0;0
8580;1.0;0.0;1;0;1;2;4;0;47.87981527371062;0;0;0;1;0;1;0;0;0
5167;1.0;0.0;0;1;1;2;1;0;32.0;0;0;0;1;0;1;0;0;0
2209;1.0;0.0;1;1;1;2;4;0;32.0;0;0;1;0;0;1;0;0;0
18940;1.0;0.0;1;1;0;2;2;5;33.0;0;0;1;0;0;0;0;1;0
17832;0.964480874;0.0;0;1;0;2;1;4;38.0;0;0;0;1;0;1;0;0;0
19427;1.0;0.6;0;1;0;2;2;7;15.0;0;0;0;1;0;1;0;0;0
5400;1.0;0.0;1;1;1;2;2;0;47.87981527371062;0;1;0;0;0;1;0;0;0
2282;0.47123287700000005;0.0;0;1;1;2;2;0;34.0;1;0;0;0;0;1;0;0;0
13932;1.0;0.0;1;1;0;2;4;3;55.0;1;0;0;0;0;1;0;0;0
9962;1.0;0.0;0;1;0;2;2;4;21.0;0;0;0;1;0;0;0;0;1
7824;1.0;0.0;1;1;1;2;2;0;25.0;0;1;0;0;0;1;0;0;0
9584;0.284931507;0.3;0;1;0;2;1;4;38.0;0;0;0;1;0;0;0;1;0
2756;1.0;0.0;0;1;1;2;2;0;34.0;0;0;0;1;0;1;0;0;0
5042;1.0;0.0;0;1;1;2;2;0;52.0;0;0;0;1;0;1;0;0;0
7264;1.0;0.0;0;1;1;2;1;0;26.0;0;0;1;0;0;1;0;0;0
3826;0.0;0.0;0;0;1;2;4;0;47.87981527371062;0;1;0;0;0;1;0;0;0
3827;1.0;0.3;0;1;0;2;2;3;42.0;0;0;1;0;0;0;0;1;0
7041;0.99726776;0.0;1;1;1;2;2;0;56.0;0;1;0;0;0;1;0;0;0
11135;1.0;0.0;0;1;1;2;2;0;32.0;0;0;1;0;0;1;0;0;0
17812;1.0;0.3;0;1;0;2;3;4;62.0;0;0;1;0;0;1;0;0;0
15870;1.0;0.3;0;1;0;2;3;2;62.0;1;0;0;0;0;0;1;0;0
18493;1.0;0.0;0;1;0;2;4;8;113.0;0;0;1;0;0;0;0;0;1
9693;0.99726776;0.0;0;1;1;2;2;0;56.0;1;0;0;0;0;1;0;0;0
8684;1.0;0.0;0;1;1;2;4;0;47.87981527371062;0;1;0;0;0;1;0;0;0
8628;1.0;0.0;0;0;1;2;2;0;50.87981527371062;1;0;0;0;0;1;0;0;0
1510;1.0;0.0;0;1;1;2;2;0;52.0;0;1;0;0;0;1;0;0;0
815;0.99726776;0.0;1;1;1;2;3;0;50.87981527371062;1;0;0;0;0;1;0;0;0
13942;1.0;0.0;0;0;1;2;2;0;53.0;1;0;0;0;0;1;0;0;0
6302;1.0;0.0;0;1;1;2;1;0;25.0;0;0;1;0;0;1;0;0;0
6938;1.0;0.0;1;1;1;2;2;0;33.0;0;0;0;1;0;1;0;0;0
14872;1.0;0.0;0;0;1;2;3;0;53.0;0;1;0;0;0;1;0;0;0
12418;1.0;0.0;0;0;1;2;2;0;52.0;0;0;0;1;0;1;0;0;0
5356;0.41369863;0.0;1;1;1;2;3;0;54.0;0;1;0;0;0;1;0;0;0
8523;1.0;0.0;0;0;1;2;4;0;48.87981527371062;1;0;0;0;0;1;0;0;0
11519;1.0;0.0;0;0;1;2;2;0;35.0;1;0;0;0;0;1;0;0;0
5487;1.0;0.0;0;1;1;2;1;0;35.0;0;1;0;0;0;1;0;0;0
11762;1.0;0.0;0;1;1;2;1;0;54.0;1;0;0;0;0;1;0;0;0
15860;1.0;0.0;0;1;0;2;1;5;18.0;0;0;0;1;0;1;0;0;0
17975;1.0;0.0;0;1;0;2;3;5;67.0;0;1;0;0;0;1;0;0;0
14015;1.0;0.0;0;0;1;2;2;0;55.0;0;0;0;1;0;1;0;0;0
16676;0.99726776;0.0;1;1;0;2;3;4;46.0;0;0;0;1;0;0;0;1;0
6936;0.457534247;0.0;0;1;1;2;2;0;55.0;0;0;1;0;0;1;0;0;0
12176;1.0;0.0;1;0;1;2;4;0;56.0;0;1;0;0;0;1;0;0;0
8468;1.0;0.6;0;1;0;2;4;3;75.0;1;0;0;0;0;0;0;0;1
18989;1.0;0.0;1;1;0;2;2;3;58.0;0;0;1;0;0;1;0;0;0
10629;1.0;0.0;0;1;0;2;1;2;53.0;0;1;0;0;0;0;0;0;1
10052;1.0;0.0;0;1;1;2;2;0;47.87981527371062;0;1;0;0;0;1;0;0;0
368;1.0;0.0;0;1;1;2;2;0;32.0;0;1;0;0;0;1;0;0;0
16695;1.0;0.0;1;1;0;2;3;5;112.0;0;0;1;0;0;0;0;0;1
8069;1.0;0.0;0;0;1;2;3;0;47.87981527371062;1;0;0;0;0;1;0;0;0
13686;1.0;0.0;0;0;1;2;3;0;54.0;0;1;0;0;0;1;0;0;0
2775;1.0;0.0;0;1;1;2;1;0;52.0;1;0;0;0;0;1;0;0;0
13465;1.0;0.0;0;0;1;2;2;0;24.0;0;0;1;0;0;1;0;0;0
12938;1.0;0.0;1;0;1;2;3;0;53.0;0;0;1;0;0;1;0;0;0
9384;0.0;0.0;1;0;1;2;1;0;49.87981527371062;1;0;0;0;0;1;0;0;0
18938;1.0;0.0;0;1;0;2;2;5;3.0;0;0;0;1;0;1;0;0;0
17221;1.0;0.0;1;1;0;2;3;8;63.0;0;0;0;1;0;0;0;1;0
10054;1.0;0.0;0;1;0;2;2;3;53.0;1;0;0;0;0;0;0;1;0
681;1.0;0.0;0;1;1;2;4;0;47.87981527371062;1;0;0;0;0;1;0;0;0
15760;1.0;0.0;1;1;0;2;2;2;62.0;1;0;0;0;0;0;0;0;1
16980;1.0;0.0;1;1;0;2;4;7;63.0;0;0;0;1;0;0;0;1;0
5141;0.99726776;0.0;0;0;1;2;1;0;28.0;0;0;0;1;0;1;0;0;0
1351;1.0;0.0;1;1;1;2;2;0;49.87981527371062;1;0;0;0;0;1;0;0;0
15771;1.0;0.0;1;1;0;2;4;7;24.0;0;1;0;0;0;0;0;1;0
17572;1.0;0.0;1;1;0;2;3;4;63.0;0;0;1;0;0;0;0;0;1
319;1.0;0.0;0;1;0;2;1;5;53.0;0;0;0;1;0;0;0;0;1
3272;1.0;0.0;0;1;1;2;2;0;35.0;0;0;1;0;0;1;0;0;0
8706;1.0;0.3;0;1;0;2;1;3;53.0;1;0;0;0;0;1;0;0;0
17002;1.0;0.3;0;1;0;1;1;3;62.0;1;0;0;0;0;1;0;0;0
2560;1.0;0.0;0;0;1;2;2;0;55.0;0;1;0;0;0;1;0;0;0
16925;1.0;0.0;0;1;0;2;2;4;38.0;0;1;0;0;0;0;0;1;0
15909;1.0;0.3;0;1;0;2;2;4;24.0;0;0;1;0;0;0;1;0;0
3864;1.0;0.0;0;1;0;2;3;4;145.0;0;0;0;1;0;1;0;0;0
4286;1.0;0.0;0;0;1;2;2;0;32.0;0;0;1;0;0;1;0;0;0
1034;1.0;0.0;0;1;1;2;1;0;32.0;0;0;0;1;0;1;0;0;0
11557;1.0;0.0;1;0;1;2;4;0;52.0;0;0;1;0;0;1;0;0;0
9543;1.0;0.0;0;1;1;2;2;0;56.0;1;0;0;0;0;1;0;0;0
7976;1.0;0.0;0;0;1;2;1;0;49.87981527371062;1;0;0;0;0;1;0;0;0
18931;1.0;0.0;0;1;0;2;1;6;46.0;0;0;1;0;0;1;0;0;0
13682;1.0;0.0;0;0;1;2;3;0;53.0;0;1;0;0;0;1;0;0;0
5246;1.0;0.0;0;0;1;2;1;0;35.0;0;0;1;0;0;1;0;0;0
1808;1.0;0.0;0;1;0;1;1;3;26.0;0;0;1;0;0;1;0;0;0
16196;1.0;0.0;1;1;0;2;3;5;42.0;0;0;1;0;0;0;0;1;0
259;1.0;0.0;0;1;1;2;1;0;32.0;0;0;0;1;0;1;0;0;0
13864;1.0;0.0;0;0;1;2;2;0;52.0;0;1;0;0;0;1;0;0;0
217;0.8465753420000001;0.3;0;1;0;2;2;4;73.0;1;0;0;0;0;1;0;0;0
17126;1.0;0.0;0;1;0;2;2;2;34.0;0;0;1;0;0;1;0;0;0
15799;1.0;0.0;0;1;0;2;2;5;112.0;0;1;0;0;0;1;0;0;0
9246;1.0;0.0;1;0;1;2;2;0;47.87981527371062;0;1;0;0;0;1;0;0;0
