;Unnamed: 0.1;EXPO;ft_23_categ;Identifiant;ft_2_categ;ft_4_categ;ft_5_categ;ft_6_categ;ft_19_categ;ft_21_categ;ft_24_categ;ft_18_categ_V;ft_18_categ_base;ft_18_categ_eff;ft_18_categ_effpi;ft_18_categ_pi;ft_22_categ_c_Ancien;ft_22_categ_c_Reconstruction;ft_22_categ_c_Annees-70;ft_22_categ_c_Recent-80;ft_22_categ_c_Moderne-90;superficief_petit;superficief_moyen;superficief_trés-grand;superficief_Géant;Insee;Frequence;"Fréquence moyenne de sinistres
mouvement de terrain";"Fréquence moyenne de sinistres
sécheresse";"Fréquence moyenne de sinistres
séisme";Périls
47;47;1.0;0.0;13577;2012;0;0;1;2;2;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;51454;1;1.0;0.0;0.0;0.0
48;48;0.0;0.0;7584;2014;0;1;1;2;3;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;93015;2;0.0;5.0;0.0;0.0
49;49;0.99726776;0.0;6168;2016;0;0;1;2;2;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;63113;1;1.0;1.0;0.0;0.0
50;50;1.0;0.0;14349;2014;0;1;0;2;2;3;0;1;0;0;0;0;1;0;0;0;0;0;1;0;34192;10;0.0;0.0;0.0;0.0
51;51;1.0;0.3;17360;2015;0;1;0;2;2;3;0;0;0;1;0;0;0;0;0;1;0;1;0;0;66182;5;0.0;0.0;0.0;0.0
52;52;0.579234973;0.6;19922;2016;1;1;0;2;2;1;0;1;0;0;0;0;1;0;0;0;1;0;0;0;09301;0;0.0;0.0;0.0;0.0
53;53;1.0;0.0;16428;2014;1;1;0;2;1;5;0;1;0;0;0;0;0;0;0;1;0;0;0;1;59183;1;1.0;1.0;0.0;0.0
54;54;1.0;0.6;7607;2014;0;1;0;1;2;4;0;1;0;0;0;1;0;0;0;0;1;0;0;0;26362;1;0.0;0.0;0.0;0.0
55;55;1.0;0.0;4536;2015;0;1;1;2;2;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;14118;5;1.0;0.0;0.0;0.0
56;56;1.0;0.0;10707;2014;1;0;1;2;2;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;68062;0;0.0;0.0;0.0;0.0
57;57;0.99726776;0.0;9744;2016;0;1;1;2;2;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;13055;5;0.0;1.0;0.0;0.0
58;58;1.0;0.0;7699;2013;0;0;1;2;2;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;63113;1;1.0;1.0;0.0;0.0
59;59;1.0;0.3;15896;2014;1;1;0;2;4;6;0;1;0;0;0;1;0;0;0;0;0;0;1;0;75056;1;1.0;1.0;0.0;0.0
60;60;1.0;0.0;2490;2013;0;1;0;2;2;6;0;1;0;0;0;1;0;0;0;0;0;0;1;0;13055;5;0.0;1.0;0.0;0.0
61;61;1.0;0.6;2671;2014;0;1;0;2;2;3;0;1;0;0;0;0;0;0;0;1;0;0;0;1;30133;2;0.0;0.0;0.0;0.0
62;62;1.0;0.0;1322;2014;1;1;1;2;2;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;68297;0;0.0;0.0;0.0;0.0
63;63;1.0;0.0;11545;2012;1;0;1;2;2;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;13055;5;0.0;1.0;0.0;0.0
64;64;1.0;0.0;10686;2012;0;1;0;2;2;4;0;1;0;0;0;1;0;0;0;0;1;0;0;0;63113;1;1.0;1.0;0.0;0.0
65;65;1.0;0.0;8476;2013;0;0;1;2;4;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;06159;5;1.0;1.0;0.0;0.0
66;66;1.0;0.0;15816;2013;0;1;0;2;2;6;0;0;0;1;0;0;0;1;0;0;0;0;0;1;60057;1;1.0;1.0;0.0;0.0
67;67;1.0;0.0;1903;2016;0;1;1;2;2;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;34324;10;0.0;0.0;0.0;0.0
68;68;0.163934426;0.3;6296;2012;0;1;0;1;2;3;0;1;0;0;0;1;0;0;0;0;0;0;1;0;09029;1;0.0;0.0;0.0;0.0
69;69;1.0;0.0;2799;2014;0;1;1;2;2;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;68278;2;1.0;0.0;0.0;0.0
70;70;0.581967213;0.0;14504;2012;0;0;1;2;2;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;34301;1;0.0;0.0;0.0;0.0
71;71;1.0;0.0;15941;2014;0;1;0;2;1;3;0;1;0;0;0;0;0;0;0;1;0;0;0;1;74012;0;0.0;0.0;1.0;0.0
72;72;1.0;0.0;14284;2014;1;0;1;2;2;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;30011;5;0.0;0.0;0.0;0.0
73;73;1.0;0.0;13446;2014;1;0;1;2;4;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;06088;2;1.0;1.0;0.0;0.0
74;74;1.0;0.0;12758;2012;0;0;1;2;2;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;83047;1;0.0;0.0;0.0;0.0
75;75;1.0;0.0;16735;2012;1;1;0;2;2;5;0;1;0;0;0;0;0;0;0;1;0;0;0;1;59527;5;0.0;0.0;0.0;0.0
76;76;1.0;0.0;6458;2012;0;1;1;2;1;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;73054;1;1.0;0.0;0.0;0.0
77;77;1.0;0.0;10098;2012;0;1;1;2;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;13032;2;0.0;5.0;0.0;0.0
78;78;1.0;0.0;11296;2015;1;0;1;2;2;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;34154;5;0.0;0.0;0.0;0.0
79;79;0.832876712;0.0;10770;2014;1;0;1;2;3;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;94052;1;1.0;1.0;0.0;0.0
80;80;1.0;0.0;17520;2015;0;1;0;2;4;7;0;1;0;0;0;0;0;0;1;0;0;0;0;1;06014;5;5.0;2.0;0.0;0.0
81;81;1.0;0.0;2056;2013;1;1;0;2;4;5;0;0;0;0;1;1;0;0;0;0;0;1;0;0;06159;5;1.0;1.0;0.0;0.0
82;82;1.0;0.0;2586;2014;0;1;1;2;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;05061;1;1.0;0.0;0.0;0.0
83;83;1.0;0.6;4296;2012;0;1;0;2;2;4;0;1;0;0;0;0;0;0;0;1;0;0;1;0;64430;1;1.0;1.0;0.0;0.0
84;84;0.915068493;0.0;13271;2013;0;0;1;2;2;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;83129;1;0.0;0.0;0.0;0.0
85;85;1.0;0.0;70;2014;0;0;1;2;2;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;13055;5;0.0;1.0;0.0;0.0
86;86;1.0;0.0;6897;2012;1;0;1;2;2;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;13055;5;0.0;1.0;0.0;0.0
87;87;0.99726776;0.0;10973;2016;1;0;1;2;3;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;92063;2;1.0;1.0;0.0;0.0
88;88;1.0;0.0;4187;2015;0;1;1;2;3;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;92025;1;1.0;0.0;0.0;0.0
89;89;1.0;0.0;11901;2014;1;0;1;2;2;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;38071;0;0.0;0.0;1.0;0.0
90;90;0.99726776;0.0;15222;2016;1;1;0;2;2;2;0;0;0;1;0;1;0;0;0;0;0;1;0;0;95219;1;0.0;1.0;0.0;0.0
91;91;1.0;0.0;11119;2013;0;1;0;2;1;5;0;1;0;0;0;0;1;0;0;0;0;1;0;0;13004;20;0.0;1.0;0.0;0.0
92;92;1.0;0.0;2593;2012;0;1;1;2;1;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;05177;1;1.0;0.0;0.0;0.0
93;93;0.24863388;0.0;10177;2012;1;1;1;2;2;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;83099;20;0.0;0.0;0.0;0.0
94;94;1.0;0.0;11743;2014;1;0;1;2;3;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;59368;1;1.0;0.0;0.0;0.0
95;95;0.24863388;0.0;16045;2012;0;1;0;2;2;6;0;0;0;0;1;0;0;0;1;0;0;0;0;1;83009;1;0.0;1.0;0.0;0.0
96;96;1.0;0.0;10116;2013;0;1;0;2;2;5;0;0;0;0;1;0;1;0;0;0;0;1;0;0;83137;1;1.0;1.0;0.0;0.0
97;97;1.0;0.0;3805;2015;0;1;1;2;2;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;14437;10;1.0;0.0;0.0;0.0
98;98;0.836065574;0.0;19077;2012;0;1;0;2;1;4;0;0;0;1;0;0;1;0;0;0;0;0;1;0;10387;1;1.0;1.0;0.0;0.0
99;99;1.0;0.3;15833;2012;0;1;0;2;4;3;0;1;0;0;0;0;0;1;0;0;0;1;0;0;06157;2;1.0;1.0;0.0;0.0
100;100;1.0;0.0;16085;2015;0;1;0;2;1;3;0;1;0;0;0;0;0;0;1;0;0;0;0;1;63075;1;0.0;1.0;0.0;0.0
101;101;1.0;0.6;13470;2012;0;1;0;2;1;4;0;1;0;0;0;0;1;0;0;0;0;1;0;0;35238;1;1.0;0.0;0.0;0.0
102;102;0.99726776;0.0;4878;2016;0;1;0;2;2;4;0;1;0;0;0;0;0;1;0;0;0;0;0;1;29105;1;0.0;0.0;0.0;0.0
103;103;0.665753425;0.0;13093;2014;0;0;1;2;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;74010;1;0.0;0.0;20.0;0.0
104;104;1.0;0.0;792;2012;0;1;1;2;2;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;25462;1;1.0;0.0;0.0;0.0
105;105;1.0;0.3;7480;2014;0;1;0;2;4;4;1;0;0;0;0;0;0;0;0;1;0;0;0;1;06155;10;1.0;1.0;0.0;1.0
106;106;1.0;0.0;13622;2012;1;0;1;2;3;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;94068;1;1.0;1.0;0.0;0.0
107;107;1.0;0.0;19090;2015;0;1;0;2;2;3;0;1;0;0;0;0;0;0;0;1;0;0;0;1;59367;0;0.0;0.0;0.0;0.0
108;108;1.0;0.0;7301;2013;0;1;0;1;2;4;0;0;0;0;1;0;1;0;0;0;0;1;0;0;68224;1;1.0;0.0;0.0;0.0
109;109;1.0;0.0;10781;2012;0;0;1;2;2;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;38517;2;0.0;0.0;0.0;0.0
110;110;1.0;0.0;760;2014;0;1;1;2;1;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;27299;5;0.0;0.0;0.0;0.0
111;111;0.452054795;0.0;11415;2013;0;0;1;2;2;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;11262;5;0.0;1.0;1.0;0.0
112;112;1.0;0.0;13130;2012;0;0;1;2;3;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;94081;1;1.0;1.0;0.0;0.0
113;113;1.0;0.6;19561;2015;0;1;0;2;1;2;0;0;0;0;1;0;0;0;0;1;0;1;0;0;33009;2;1.0;0.0;0.0;0.0
114;114;1.0;0.0;9960;2014;0;1;1;2;2;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;26220;1;0.0;0.0;0.0;0.0
115;115;1.0;0.6;7601;2015;0;1;0;2;2;4;0;0;0;0;1;0;0;0;0;1;0;0;1;0;66136;5;0.0;0.0;1.0;0.0
116;116;1.0;0.0;15282;2012;1;1;0;2;4;4;0;0;0;1;0;1;0;0;0;0;0;1;0;0;75056;1;1.0;1.0;0.0;0.0
117;117;0.983561644;0.3;17796;2015;1;1;0;2;1;3;0;1;0;0;0;0;0;0;0;1;1;0;0;0;74290;0;0.0;0.0;0.0;0.0
118;118;1.0;0.0;7677;2012;0;1;1;2;2;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;83144;1;0.0;0.0;0.0;0.0
119;119;1.0;0.0;10147;2014;0;1;1;2;2;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;69034;1;0.0;0.0;0.0;0.0
120;120;1.0;0.0;106;2012;0;1;1;2;4;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;75056;1;1.0;1.0;0.0;0.0
121;121;1.0;0.0;7873;2013;0;0;1;2;2;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;64122;1;0.0;1.0;0.0;0.0
122;122;1.0;0.0;5558;2014;0;1;1;2;2;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;68278;2;1.0;0.0;0.0;0.0
123;123;1.0;0.0;18463;2014;1;1;0;2;3;8;0;0;0;1;0;0;0;1;0;0;0;0;0;1;92023;2;1.0;1.0;0.0;0.0
124;124;1.0;0.0;18695;2014;1;1;0;2;4;6;0;0;0;1;0;1;0;0;0;0;0;0;1;0;75056;1;1.0;1.0;0.0;0.0
125;125;1.0;0.0;16147;2015;1;1;0;2;4;6;0;0;0;0;1;1;0;0;0;0;0;0;1;0;75056;1;1.0;1.0;0.0;0.0
126;126;0.271232877;0.0;9798;2013;0;1;0;2;2;7;0;0;0;0;1;1;0;0;0;0;0;0;1;0;13055;5;0.0;1.0;0.0;0.0
127;127;1.0;0.6;6261;2015;0;1;0;1;2;5;0;1;0;0;0;0;1;0;0;0;1;0;0;0;95582;1;1.0;0.0;0.0;0.0
128;128;1.0;0.0;267;2015;0;1;0;2;2;4;0;1;0;0;0;0;0;1;0;0;0;0;1;0;64422;1;0.0;0.0;0.0;0.0
129;129;0.997260274;0.0;15429;2015;0;1;0;2;1;4;0;1;0;0;0;0;0;0;0;1;0;0;1;0;86041;2;1.0;2.0;0.0;0.0
130;130;1.0;0.0;6964;2012;1;0;1;2;2;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;13055;5;0.0;1.0;0.0;0.0
131;131;1.0;0.3;15368;2014;0;1;0;2;2;3;0;1;0;0;0;0;1;0;0;0;0;1;0;0;57663;1;0.0;0.0;0.0;0.0
132;132;1.0;0.0;6908;2012;0;0;1;2;2;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;13001;1;0.0;1.0;0.0;0.0
133;133;1.0;0.0;12975;2012;1;0;1;2;2;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;59295;5;1.0;1.0;0.0;0.0
134;134;1.0;0.0;3901;2015;0;1;0;2;4;7;0;1;0;0;0;0;0;0;1;0;0;0;0;1;06104;2;1.0;0.0;0.0;0.0
135;135;1.0;0.0;780;2015;0;1;0;2;1;4;0;1;0;0;0;0;1;0;0;0;0;1;0;0;27229;5;1.0;1.0;0.0;0.0
136;136;0.545205479;0.0;5435;2014;0;1;1;2;1;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;73137;1;0.0;0.0;0.0;0.0
137;137;1.0;0.0;11689;2014;0;0;1;2;4;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;06083;2;2.0;0.0;1.0;0.0
138;138;1.0;0.0;4622;2012;0;1;1;2;1;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;86041;2;1.0;2.0;0.0;0.0
139;139;1.0;0.0;11097;2015;1;1;0;2;2;3;0;1;0;0;0;0;0;0;1;0;0;1;0;0;83115;10;0.0;0.0;0.0;0.0
140;140;1.0;0.0;9008;2014;0;1;0;2;4;6;0;0;0;1;0;1;0;0;0;0;0;0;0;1;75056;1;1.0;1.0;0.0;0.0
141;141;0.163934426;0.0;11144;2012;0;0;1;1;2;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;13055;5;0.0;1.0;0.0;0.0
142;142;0.99726776;0.0;11987;2016;0;1;0;2;1;4;0;0;0;0;1;1;0;0;0;0;0;1;0;0;35288;1;1.0;1.0;0.0;0.0
143;143;1.0;0.0;9799;2014;0;1;0;2;4;4;0;0;0;0;1;1;0;0;0;0;1;0;0;0;06004;5;0.0;1.0;0.0;1.0
144;144;1.0;0.0;2619;2015;0;1;1;2;2;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;64256;1;1.0;1.0;0.0;0.0
145;145;1.0;0.0;940;2014;0;1;1;2;1;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;87085;1;1.0;0.0;0.0;0.0
146;146;1.0;0.0;7516;2016;0;0;1;2;2;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;38416;1;0.0;0.0;0.0;0.0
147;147;1.0;0.0;8923;2016;0;1;0;2;4;3;0;0;0;0;1;0;0;0;0;1;0;0;1;0;06104;2;1.0;0.0;0.0;0.0
148;148;1.0;0.0;9406;2012;1;0;1;2;2;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;42218;1;0.0;0.0;0.0;0.0
149;149;1.0;0.0;4631;2013;0;0;1;2;2;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;14220;10;0.0;0.0;0.0;0.0
150;150;1.0;0.0;1063;2013;0;1;1;2;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;74010;1;0.0;0.0;20.0;0.0
151;151;0.99726776;0.0;18903;2016;1;1;0;2;2;4;0;1;0;0;0;0;0;0;0;1;0;0;1;0;38126;1;0.0;0.0;0.0;0.0
152;152;1.0;0.0;5865;2013;0;1;1;2;1;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;87085;1;1.0;0.0;0.0;0.0
153;153;1.0;0.0;15562;2012;1;1;0;2;3;3;0;0;0;1;0;0;1;0;0;0;1;0;0;0;94069;1;1.0;0.0;0.0;0.0
154;154;1.0;0.0;4142;2015;0;0;1;2;1;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;74081;1;0.0;0.0;1.0;0.0
155;155;0.99726776;0.0;8379;2016;0;1;1;2;3;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;2A004;2;0.0;0.0;0.0;0.0
156;156;0.99726776;0.0;18315;2016;1;1;0;2;1;7;1;0;0;0;0;0;0;0;0;1;0;0;0;1;74010;1;0.0;0.0;20.0;0.0
157;157;1.0;0.0;3644;2014;0;1;1;2;3;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;93064;1;1.0;2.0;0.0;0.0
158;158;1.0;0.0;8750;2014;0;0;1;2;4;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;06088;2;1.0;1.0;0.0;0.0
159;159;0.99726776;0.0;7038;2016;0;0;1;2;3;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;83137;1;1.0;1.0;0.0;0.0
160;160;1.0;0.0;17752;2013;0;1;0;2;4;4;0;1;0;0;0;0;1;0;0;0;0;0;1;0;06083;2;2.0;0.0;1.0;0.0
161;161;1.0;0.0;17052;2015;0;1;0;2;2;5;0;1;0;0;0;0;1;0;0;0;0;1;0;0;51108;1;1.0;0.0;0.0;0.0
162;162;1.0;0.0;13257;2014;1;0;1;2;2;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;83118;10;0.0;1.0;0.0;0.0
163;163;1.0;0.0;15873;2013;1;1;0;2;3;8;0;0;0;1;0;0;0;0;1;0;0;0;0;1;33063;1;1.0;1.0;0.0;0.0
164;164;0.74863388;0.0;7136;2012;0;1;1;2;2;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;69259;1;0.0;0.0;0.0;0.0
165;165;0.99726776;0.0;18926;2016;0;1;0;2;1;4;0;0;0;1;0;0;0;1;0;0;0;0;1;0;13001;1;0.0;1.0;0.0;0.0
166;166;1.0;0.0;5348;2014;0;0;1;2;4;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;06012;1;1.0;0.0;0.0;0.0
