;Identifiant;ft_2_categ;EXPO;ft_4_categ;ft_5_categ;ft_6_categ;ft_7_categ;ft_8_categ;ft_9_categ;ft_10_categ;ft_11_categ;ft_12_categ;ft_13_categ;ft_14_categ;ft_15_categ;ft_16_categ;ft_17_categ;ft_18_categ;ft_19_categ;superficief;ft_21_categ;ft_23_categ;ft_24_categ;Insee;ft_22_categ_c;target
48;7584;2014;0.0;0;V;V;V;V;V;V;V;V;V;V;V;V;N;base;2;4000.0;3;0.0;0;93015;1965.1201847262896;0
49;6168;2016;0.99726776;0;N;V;V;V;V;V;V;V;V;V;V;V;N;base;2;2000.0;2;0.0;0;63113;1980.0;0
50;14349;2014;1.0;0;V;N;1;O;1;O;N;N;N;N;AUTRE;IDENTIQUE;V;base;2;1260.0;2;0.0;3;34192;1960.0;0
51;17360;2015;1.0;0;V;N;1;O;1;O;N;N;N;N;AUTRE;IDENTIQUE;V;effpi;2;1000.0;2;0.3;3;66182;1990.0;0
52;19922;2016;0.579234973;1;V;N;1;O;1;O;N;N;N;N;AUTRE;IDENTIQUE;V;base;2;500.0;2;0.6;1;09301;1950.0;0
53;16428;2014;1.0;1;V;N;2;O;1;O;N;N;O;N;AUTRE;IDENTIQUE;V;base;2;5346.0;1;0.0;5;59183;2005.0;0
54;7607;2014;1.0;0;V;N;1;O;1;O;N;N;N;O;AUTRE;IDENTIQUE;V;base;1;400.0;2;0.6;4;26362;1925.0;0
55;4536;2015;1.0;0;V;V;V;V;V;V;V;V;V;V;V;V;N;base;2;850.0;2;0.0;0;14118;1960.0;0
56;10707;2014;1.0;1;N;V;V;V;V;V;V;V;V;V;V;V;N;base;2;820.0;2;0.0;0;68062;1988.0;0
57;9744;2016;0.99726776;0;V;V;V;V;V;V;V;V;V;V;V;V;N;base;2;520.0;2;0.0;0;13206;1960.0;0
58;7699;2013;1.0;0;N;V;V;V;V;V;V;V;V;V;V;V;N;base;2;1447.0;2;0.0;0;63113;1980.0;0
59;15896;2014;1.0;1;V;N;1;O;1;O;N;N;O;N;AUTRE;IDENTIQUE;V;base;2;1170.0;4;0.3;6;75115;1919.0;0
60;2490;2013;1.0;0;V;N;1;O;1;O;N;N;O;N;AUTRE;IDENTIQUE;V;base;2;1427.0;2;0.0;6;13202;1940.0;1
61;2671;2014;1.0;0;V;N;3;O;1;O;N;N;N;N;AUTRE;IDENTIQUE;V;base;2;3000.0;2;0.6;3;30133;1991.0;1
62;1322;2014;1.0;1;V;V;V;V;V;V;V;V;V;V;V;V;N;base;2;4480.0;2;0.0;0;68297;1980.0;0
63;11545;2012;1.0;1;N;V;V;V;V;V;V;V;V;V;V;V;N;base;2;920.0;2;0.0;0;13205;1960.0;0
64;10686;2012;1.0;0;V;N;1;O;1;O;N;N;O;O;AUTRE;IDENTIQUE;V;base;2;450.0;2;0.0;4;63113;1900.0;0
65;8476;2013;1.0;0;N;V;V;V;V;V;V;V;V;V;V;V;N;base;2;390.0;4;0.0;0;06159;1960.0;0
66;15816;2013;1.0;0;V;N;2;O;2;O;N;N;O;N;AUTRE;IDENTIQUE;V;effpi;2;19195.0;2;0.0;6;60057;1970.0;1
67;1903;2016;1.0;0;V;V;V;V;V;V;V;V;V;V;V;V;N;base;2;1250.0;2;0.0;0;34324;1980.0;1
68;6296;2012;0.163934426;0;V;N;3;O;1;O;N;N;N;O;AUTRE;IDENTIQUE;V;base;1;1300.0;2;0.3;3;09029;1900.0;0
69;2799;2014;1.0;0;V;V;V;V;V;V;V;V;V;V;V;V;N;base;2;7100.0;2;0.0;0;68278;1980.0;1
70;14504;2012;0.581967213;0;N;V;V;V;V;V;V;V;V;V;V;V;N;base;2;1700.0;2;0.0;0;34301;1980.0;0
71;15941;2014;1.0;0;V;N;1;O;1;O;N;N;O;N;AUTRE;IDENTIQUE;V;base;2;4172.0;1;0.0;3;74012;1989.0;0
72;14284;2014;1.0;1;N;V;V;V;V;V;V;V;V;V;V;V;N;base;2;1800.0;2;0.0;0;30011;1960.0;0
73;13446;2014;1.0;1;N;V;V;V;V;V;V;V;V;V;V;V;N;base;2;450.0;4;0.0;0;06088;1960.0;0
74;12758;2012;1.0;0;N;V;V;V;V;V;V;V;V;V;V;V;N;base;2;1731.0;2;0.0;0;83047;1980.0;0
75;16735;2012;1.0;1;V;N;2;O;1;O;N;N;N;N;AUTRE;IDENTIQUE;V;base;2;4045.0;2;0.0;5;59527;2010.0;1
76;6458;2012;1.0;0;V;V;V;V;V;V;V;V;V;V;V;V;N;base;2;230.0;1;0.0;0;73054;1980.0;0
77;10098;2012;1.0;0;V;V;V;V;V;V;V;V;V;V;V;V;N;base;2;350.0;1;0.0;0;13032;1960.0;0
78;11296;2015;1.0;1;N;V;V;V;V;V;V;V;V;V;V;V;N;base;2;1502.0;2;0.0;0;34154;1988.0;0
79;10770;2014;0.832876712;1;N;V;V;V;V;V;V;V;V;V;V;V;N;base;2;340.0;3;0.0;0;94052;1960.0;0
80;17520;2015;1.0;0;V;N;1;O;1;O;N;N;N;N;AUTRE;IDENTIQUE;V;base;2;3270.0;4;0.0;7;06014;1980.0;0
81;2056;2013;1.0;1;V;N;3;O;1;O;N;N;O;O;AUTRE;IDENTIQUE;V;pi;2;600.0;4;0.0;5;06159;1920.0;1
82;2586;2014;1.0;0;V;V;V;V;V;V;V;V;V;V;V;V;N;base;2;2400.0;1;0.0;0;05061;1980.0;0
83;4296;2012;1.0;0;V;N;1;O;1;O;N;N;N;N;AUTRE;IDENTIQUE;V;base;2;1780.0;2;0.6;4;64430;1990.0;0
84;13271;2013;0.915068493;0;N;V;V;V;V;V;V;V;V;V;V;V;N;base;2;1400.0;2;0.0;0;83129;1988.0;0
85;70;2014;1.0;0;N;V;V;V;V;V;V;V;V;V;V;V;N;base;2;600.0;2;0.0;0;13206;1960.0;1
86;6897;2012;1.0;1;N;V;V;V;V;V;V;V;V;V;V;V;N;base;2;350.0;2;0.0;0;13206;1980.0;0
87;10973;2016;0.99726776;1;N;V;V;V;V;V;V;V;V;V;V;V;N;base;2;200.0;3;0.0;0;92063;1965.1201847262896;0
88;4187;2015;1.0;0;V;V;V;V;V;V;V;V;V;V;V;V;N;base;2;643.0;3;0.0;0;92025;1960.0;1
89;11901;2014;1.0;1;N;V;V;V;V;V;V;V;V;V;V;V;N;base;2;900.0;2;0.0;0;38071;1980.0;1
90;15222;2016;0.99726776;1;V;N;1;O;1;O;N;N;O;N;AUTRE;IDENTIQUE;V;effpi;2;794.0;2;0.0;2;95219;1900.0;0
91;11119;2013;1.0;0;V;N;2;O;1;O;N;N;N;N;AUTRE;IDENTIQUE;V;base;2;850.0;1;0.0;5;13004;1950.0;0
92;2593;2012;1.0;0;V;V;V;V;V;V;V;V;V;V;V;V;N;base;2;300.0;1;0.0;0;05177;1980.0;0
93;10177;2012;0.24863388;1;V;V;V;V;V;V;V;V;V;V;V;V;N;base;2;6880.0;2;0.0;0;83099;1988.0;0
94;11743;2014;1.0;1;N;V;V;V;V;V;V;V;V;V;V;V;N;base;2;9709.0;3;0.0;0;59368;1960.0;0
95;16045;2012;0.24863388;0;V;N;2;O;1;O;N;N;N;N;AUTRE;IDENTIQUE;V;pi;2;5500.0;2;0.0;6;83009;1980.0;0
96;10116;2013;1.0;0;V;N;1;O;1;O;N;N;N;N;AUTRE;IDENTIQUE;V;pi;2;882.0;2;0.0;5;83137;1950.0;0
97;3805;2015;1.0;0;V;V;V;V;V;V;V;V;V;V;V;V;N;base;2;1414.0;2;0.0;0;14437;1980.0;1
98;19077;2012;0.836065574;0;V;N;1;O;1;O;N;N;O;N;AUTRE;IDENTIQUE;V;effpi;2;1441.0;1;0.0;4;10387;1961.0;0
99;15833;2012;1.0;0;V;N;1;O;1;O;N;N;N;N;AUTRE;IDENTIQUE;V;base;2;600.0;4;0.3;3;06157;1970.0;1
100;16085;2015;1.0;0;V;N;2;O;1;O;N;N;O;N;AUTRE;IDENTIQUE;V;base;2;2250.0;1;0.0;3;63075;1980.0;1
101;13470;2012;1.0;0;V;N;1;O;1;O;N;N;N;N;AUTRE;IDENTIQUE;V;base;2;800.0;1;0.6;4;35238;1960.0;0
102;4878;2016;0.99726776;0;V;N;1;O;1;O;N;N;O;N;AUTRE;IDENTIQUE;V;base;2;4228.0;2;0.0;4;29105;1970.0;0
103;13093;2014;0.665753425;0;N;V;V;V;V;V;V;V;V;V;V;V;N;base;2;2250.0;1;0.0;0;74010;1988.0;0
104;792;2012;1.0;0;V;V;V;V;V;V;V;V;V;V;V;V;V;base;2;400.0;2;0.0;0;25462;1965.1201847262896;0
105;7480;2014;1.0;0;V;N;1;O;1;O;N;N;N;N;AUTRE;IDENTIQUE;V;V;2;5500.0;4;0.3;4;06155;2003.0;1
106;13622;2012;1.0;1;N;V;V;V;V;V;V;V;V;V;V;V;N;base;2;2250.0;3;0.0;0;94068;1980.0;0
107;19090;2015;1.0;0;V;N;3;O;1;O;N;N;O;N;AUTRE;IDENTIQUE;V;base;2;3600.0;2;0.0;3;59367;2008.0;0
108;7301;2013;1.0;0;V;N;1;O;1;O;N;N;O;N;AUTRE;IDENTIQUE;V;pi;1;650.0;2;0.0;4;68224;1958.0;0
109;10781;2012;1.0;0;N;V;V;V;V;V;V;V;V;V;V;V;N;base;2;385.0;2;0.0;0;38517;1960.0;0
110;760;2014;1.0;0;V;V;V;V;V;V;V;V;V;V;V;V;N;base;2;1701.0;1;0.0;0;27299;1960.0;0
111;11415;2013;0.452054795;0;N;V;V;V;V;V;V;V;V;V;V;V;N;base;2;320.0;2;0.0;0;11262;1980.0;0
112;13130;2012;1.0;0;N;V;V;V;V;V;V;V;V;V;V;V;N;base;2;450.0;3;0.0;0;94081;1960.0;0
113;19561;2015;1.0;0;V;N;1;O;1;O;N;N;N;N;AUTRE;IDENTIQUE;V;pi;2;650.0;1;0.6;2;33009;1990.0;1
114;9960;2014;1.0;0;V;V;V;V;V;V;V;V;V;V;V;V;N;base;2;4464.0;2;0.0;0;26220;1980.0;1
115;7601;2015;1.0;0;V;N;2;O;1;O;N;N;N;N;AUTRE;IDENTIQUE;V;pi;2;1064.0;2;0.6;4;66136;1998.0;0
116;15282;2012;1.0;1;V;N;3;O;1;O;N;N;O;O;AUTRE;IDENTIQUE;V;effpi;2;964.0;4;0.0;4;75113;1900.0;0
117;17796;2015;0.983561644;1;V;N;1;O;1;N;N;N;N;N;AUTRE;IDENTIQUE;V;base;2;300.0;1;0.3;3;74290;2005.0;0
118;7677;2012;1.0;0;V;V;V;V;V;V;V;V;V;V;V;V;N;base;2;1800.0;2;0.0;0;83144;1980.0;0
119;10147;2014;1.0;0;V;V;V;V;V;V;V;V;V;V;V;V;N;base;2;400.0;2;0.0;0;69034;1960.0;0
120;106;2012;1.0;0;V;V;V;V;V;V;V;V;V;V;V;V;N;base;2;250.0;4;0.0;0;75104;1960.0;0
121;7873;2013;1.0;0;N;V;V;V;V;V;V;V;V;V;V;V;N;base;2;820.0;2;0.0;0;64122;1960.0;0
122;5558;2014;1.0;0;V;V;V;V;V;V;V;V;V;V;V;V;N;base;2;7100.0;2;0.0;0;68278;1980.0;1
123;18463;2014;1.0;1;V;N;2;O;1;O;N;O;O;N;AUTRE;IDENTIQUE;V;effpi;2;12582.0;3;0.0;8;92023;1970.0;1
124;18695;2014;1.0;1;V;N;1;O;1;O;N;N;O;N;AUTRE;IDENTIQUE;V;effpi;2;2000.0;4;0.0;6;75112;1870.0;0
125;16147;2015;1.0;1;V;N;1;O;1;O;N;O;O;O;AUTRE;IDENTIQUE;V;pi;2;1260.0;4;0.0;6;75107;1890.0;0
126;9798;2013;0.271232877;0;V;N;1;O;1;O;N;N;O;N;AUTRE;IDENTIQUE;V;pi;2;1200.0;2;0.0;7;13201;1940.0;1
127;6261;2015;1.0;0;V;N;1;O;1;O;N;N;O;N;AUTRE;IDENTIQUE;V;base;1;280.0;2;0.6;5;95582;1955.0;0
128;267;2015;1.0;0;V;N;1;O;1;O;N;N;N;N;AUTRE;IDENTIQUE;V;base;2;1445.0;2;0.0;4;64422;1970.0;0
129;15429;2015;0.997260274;0;V;N;1;O;1;O;N;O;O;N;AUTRE;IDENTIQUE;V;base;2;1556.0;1;0.0;4;86041;1994.0;0
130;6964;2012;1.0;1;N;V;V;V;V;V;V;V;V;V;V;V;N;base;2;942.0;2;0.0;0;13202;1980.0;0
131;15368;2014;1.0;0;V;N;1;O;1;O;N;N;O;N;AUTRE;IDENTIQUE;V;base;2;800.0;2;0.3;3;57663;1965.0;0
132;6908;2012;1.0;0;N;V;V;V;V;V;V;V;V;V;V;V;N;base;2;2791.0;2;0.0;0;13001;1960.0;0
133;12975;2012;1.0;1;N;V;V;V;V;V;V;V;V;V;V;V;N;base;2;700.0;2;0.0;0;59295;1960.0;0
134;3901;2015;1.0;0;V;N;2;O;1;O;N;N;N;N;AUTRE;IDENTIQUE;V;base;2;11380.0;4;0.0;7;06104;1980.0;0
135;780;2015;1.0;0;V;N;1;O;1;O;N;N;N;N;AUTRE;IDENTIQUE;V;base;2;850.0;1;0.0;4;27229;1960.0;0
136;5435;2014;0.545205479;0;V;V;V;V;V;V;V;V;V;V;V;V;N;base;2;216.0;1;0.0;0;73137;1988.0;0
137;11689;2014;1.0;0;N;V;V;V;V;V;V;V;V;V;V;V;N;base;2;250.0;4;0.0;0;06083;1960.0;0
138;4622;2012;1.0;0;V;V;V;V;V;V;V;V;V;V;V;V;N;base;2;600.0;1;0.0;0;86041;1988.0;0
139;11097;2015;1.0;1;V;N;1;O;1;O;N;N;N;N;AUTRE;IDENTIQUE;V;base;2;850.0;2;0.0;3;83115;1980.0;1
140;9008;2014;1.0;0;V;N;1;O;1;O;N;O;O;N;AUTRE;IDENTIQUE;V;effpi;2;2973.0;4;0.0;6;75106;1850.0;1
141;11144;2012;0.163934426;0;N;V;V;V;V;V;V;V;V;V;V;V;N;base;1;915.0;2;0.0;0;13207;1960.0;0
142;11987;2016;0.99726776;0;V;N;1;O;1;O;N;N;O;N;AUTRE;IDENTIQUE;V;pi;2;800.0;1;0.0;4;35288;1900.0;0
143;9799;2014;1.0;0;V;N;1;O;1;O;N;N;N;N;AUTRE;IDENTIQUE;V;pi;2;318.0;4;0.0;4;06004;1900.0;1
144;2619;2015;1.0;0;V;V;V;V;V;V;V;V;V;V;V;V;N;base;2;663.0;2;0.0;0;64256;1960.0;1
145;940;2014;1.0;0;V;V;V;V;V;V;V;V;V;V;V;V;N;base;2;1572.0;1;0.0;0;87085;1960.0;0
146;7516;2016;1.0;0;N;V;V;V;V;V;V;V;V;V;V;V;N;base;2;180.0;2;0.0;0;38416;1960.0;0
147;8923;2016;1.0;0;V;N;1;O;1;O;N;N;N;N;AUTRE;IDENTIQUE;V;pi;2;1203.0;4;0.0;3;06104;2002.0;0
148;9406;2012;1.0;1;N;V;V;V;V;V;V;V;V;V;V;V;N;base;2;864.0;2;0.0;0;42218;1965.1201847262896;0
149;4631;2013;1.0;0;N;V;V;V;V;V;V;V;V;V;V;V;N;base;2;833.0;2;0.0;0;14220;1960.0;0
150;1063;2013;1.0;0;V;V;V;V;V;V;V;V;V;V;V;V;N;base;2;2625.0;1;0.0;0;74010;1980.0;0
151;18903;2016;0.99726776;1;V;N;3;O;1;O;N;N;N;N;AUTRE;IDENTIQUE;V;base;2;1050.0;2;0.0;4;38126;2012.0;0
152;5865;2013;1.0;0;V;V;V;V;V;V;V;V;V;V;V;V;N;base;2;2140.0;1;0.0;0;87085;1980.0;0
153;15562;2012;1.0;1;V;N;3;O;1;O;N;N;O;N;AUTRE;IDENTIQUE;V;effpi;2;460.0;3;0.0;3;94069;1950.0;0
154;4142;2015;1.0;0;N;V;V;V;V;V;V;V;V;V;V;V;N;base;2;1302.0;1;0.0;0;74081;1988.0;0
155;8379;2016;0.99726776;0;V;V;V;V;V;V;V;V;V;V;V;V;N;base;2;700.0;3;0.0;0;2A004;1960.0;0
156;18315;2016;0.99726776;1;V;N;1;O;1;O;N;N;N;N;AUTRE;IDENTIQUE;V;V;2;6700.0;1;0.0;7;74010;2011.0;0
157;3644;2014;1.0;0;V;V;V;V;V;V;V;V;V;V;V;V;N;base;2;325.0;3;0.0;0;93064;1988.0;0
158;8750;2014;1.0;0;N;V;V;V;V;V;V;V;V;V;V;V;N;base;2;824.0;4;0.0;0;06088;1960.0;0
159;7038;2016;0.99726776;0;N;V;V;V;V;V;V;V;V;V;V;V;N;base;2;1876.0;3;0.0;0;83137;1980.0;0
160;17752;2013;1.0;0;V;N;1;O;1;O;N;N;N;N;AUTRE;IDENTIQUE;V;base;2;1050.0;4;0.0;4;06083;1960.0;0
161;17052;2015;1.0;0;V;N;1;O;1;O;N;N;N;N;AUTRE;IDENTIQUE;V;base;2;650.0;2;0.0;5;51108;1950.0;0
162;13257;2014;1.0;1;N;V;V;V;V;V;V;V;V;V;V;V;N;base;2;322.0;2;0.0;0;83118;1980.0;0
163;15873;2013;1.0;1;V;N;1;O;1;O;N;O;N;N;AUTRE;IDENTIQUE;V;effpi;2;14120.0;3;0.0;8;33063;1980.0;0
164;7136;2012;0.74863388;0;V;V;V;V;V;V;V;V;V;V;V;V;N;base;2;1032.0;2;0.0;0;69259;1960.0;0
165;18926;2016;0.99726776;0;V;N;1;O;1;O;N;O;N;N;AUTRE;IDENTIQUE;V;effpi;2;2039.0;1;0.0;4;13001;1970.0;0
166;5348;2014;1.0;0;N;V;V;V;V;V;V;V;V;V;V;V;N;base;2;1500.0;4;0.0;0;06012;1980.0;1
167;18008;2012;1.0;0;V;N;1;O;1;O;N;N;O;N;AUTRE;IDENTIQUE;V;base;2;300.0;3;0.3;3;93048;1950.0;0
168;1431;2016;1.0;0;V;V;V;V;V;V;V;V;V;V;V;V;N;base;2;3757.0;2;0.0;0;34902;1980.0;1
169;13525;2016;0.99726776;0;N;V;V;V;V;V;V;V;V;V;V;V;N;base;2;1000.0;1;0.0;0;05085;1988.0;0
170;19002;2014;1.0;1;V;N;2;O;1;O;N;O;O;N;AUTRE;IDENTIQUE;V;effpi;2;6000.0;3;0.0;4;94052;1970.0;1
171;5159;2013;1.0;1;V;N;1;O;1;O;N;N;N;N;AUTRE;IDENTIQUE;V;effpi;2;900.0;2;0.6;3;13213;1999.0;0
172;16524;2012;1.0;1;V;N;3;O;1;O;N;N;N;N;AUTRE;IDENTIQUE;V;effpi;2;8377.0;3;0.0;8;92049;1970.0;0
173;4214;2012;1.0;0;V;N;1;O;1;O;N;N;O;N;AUTRE;IDENTIQUE;V;base;1;450.0;2;0.0;4;13206;1930.0;0
174;6953;2012;0.330601093;1;N;V;V;V;V;V;V;V;V;V;V;V;N;base;2;394.0;4;0.0;0;75113;1965.1201847262896;0
175;19010;2016;0.99726776;1;V;N;1;O;1;O;N;O;O;N;AUTRE;IDENTIQUE;V;effpi;2;2450.0;2;0.0;4;95585;1958.0;0
176;14543;2013;1.0;1;N;V;V;V;V;V;V;V;V;V;V;V;N;base;2;705.0;3;0.0;0;92026;1960.0;0
177;12617;2012;1.0;1;V;N;1;O;1;O;N;N;O;N;AUTRE;IDENTIQUE;V;base;1;420.0;2;0.0;3;51454;1935.0;0
178;5588;2013;1.0;0;V;N;1;O;1;O;N;N;O;N;AUTRE;IDENTIQUE;V;base;1;270.0;1;0.0;3;28085;1900.0;0
179;16835;2014;1.0;0;V;N;1;O;1;O;N;N;O;N;AUTRE;IDENTIQUE;V;base;2;660.0;3;0.0;3;59599;2000.0;0
180;8518;2014;1.0;0;V;V;V;V;V;V;V;V;V;V;V;V;N;base;2;1200.0;4;0.0;0;06029;1960.0;0
181;9020;2014;0.493150685;0;V;V;V;V;V;V;V;V;V;V;V;V;N;base;2;1300.0;4;0.0;0;75114;1965.1201847262896;0
182;16408;2015;1.0;0;V;N;1;O;1;O;N;N;N;N;AUTRE;IDENTIQUE;V;effpi;2;3213.0;1;0.0;2;13117;2010.0;0
183;18355;2012;0.75136612;1;V;N;1;O;1;O;N;N;O;O;AUTRE;IDENTIQUE;V;base;2;2205.0;3;0.0;7;94067;1895.0;1
184;7553;2016;1.0;0;N;V;V;V;V;V;V;V;V;V;V;V;N;base;2;320.0;2;0.0;0;13206;1960.0;0
185;13800;2014;1.0;1;V;N;1;O;1;O;N;N;N;N;AUTRE;IDENTIQUE;V;effpi;2;1912.0;1;0.0;6;73176;2008.0;0
186;18518;2013;1.0;0;V;N;1;O;1;O;N;N;N;N;AUTRE;IDENTIQUE;V;base;2;1171.0;1;0.3;3;44069;2011.0;0
